objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237657189833834894,2728,301,1,449,398,3,5.47303136,-0.881936786,23.89787,23.90912,23.46881,22.4166,22.30659,0.6791154,0.3634079,0.3128004,0.195477,0.4980676
1237657189833834893,2728,301,1,449,397,3,5.472860081,-0.881360884,24.30883,23.69433,22.09428,23.13317,21.63053,1.199234,0.4663365,0.1590378,0.5455953,0.5314369
1237657189833835610,2728,301,1,449,1114,3,5.477043313,-0.862368124,23.27222,23.50588,22.58401,22.55899,21.40265,0.4784667,0.2830359,0.1693939,0.2380429,0.3083513
1237657189833900867,2728,301,1,450,835,3,5.499748881,-0.873615416,25.25867,23.716,22.30418,23.65098,22.60472,0.9689856,0.4334257,0.1758962,0.695851,0.7841352
1237657189833900866,2728,301,1,450,834,3,5.498151632,-0.87495748,23.45343,25.01025,21.83946,24.77127,23.16991,0.9952872,1.203505,0.1735501,1.208478,1.140185
1237657189833835631,2728,301,1,449,1135,3,5.485540821,-0.880298586,25.51627,23.11325,22.66327,22.39878,22.93335,0.656337,0.2093324,0.1853222,0.214439,0.6236377
1237657189833900858,2728,301,1,450,826,3,5.490489289,-0.873143028,26.11043,23.88034,22.45852,21.49651,20.92549,0.5055909,0.465947,0.1886005,0.120747,0.2701468
1237657189833900523,2728,301,1,450,491,3,5.496291298,-0.844487347,23.24386,23.10358,22.19689,21.33289,20.66003,0.5223112,0.238631,0.1420493,0.09947056,0.2043328
1237657189833835380,2728,301,1,449,884,3,5.48465915,-0.855132284,24.78555,22.41953,22.08482,22.03988,21.20668,1.151886,0.1498883,0.1470952,0.2101291,0.3618611
1237657189833900521,2728,301,1,450,489,3,5.494468521,-0.860264998,24.75485,20.95423,19.90933,19.33541,18.99978,1.293369,0.04872417,0.02737617,0.02438836,0.06327131
1237657189833901040,2728,301,1,450,1008,3,5.490908726,-0.85575831,23.9059,23.43194,22.72972,21.32075,21.27697,1.166445,0.4351919,0.322019,0.1438956,0.4720514
1237657189833900517,2728,301,1,450,485,3,5.49259452,-0.862787096,22.92019,21.87572,21.38967,21.20599,21.25564,0.463928,0.09063499,0.08267216,0.1026111,0.3725728
1237657189833900518,2728,301,1,450,486,3,5.491485289,-0.862432454,23.95858,23.85166,21.9205,21.39521,22.10577,1.467148,0.759143,0.2058216,0.1929577,1.101667
1237657189833900513,2728,301,1,450,481,3,5.490277343,-0.869756477,23.06387,22.78955,22.39561,22.3249,22.02998,0.4328869,0.170184,0.1580242,0.2185693,0.5370091
1237657189833835629,2728,301,1,449,1133,3,5.485182077,-0.871089594,23.26065,23.06402,22.39432,22.67951,21.43967,0.610902,0.2566226,0.1934462,0.3574578,0.430973
1237657189833900395,2728,301,1,450,363,3,5.505199744,-0.844062726,21.99536,22.31311,21.74336,22.15188,22.27919,0.1660654,0.104706,0.08014488,0.1673442,0.5402082
1237657189833901163,2728,301,1,450,1131,3,5.514850985,-0.864445136,25.97492,23.23247,22.12131,21.83626,21.92644,0.8286229,0.4024551,0.2087627,0.2594524,0.851347
1237657189833901045,2728,301,1,450,1013,3,5.501250174,-0.869038888,26.24192,24.02235,22.8439,21.86929,20.75323,0.4374553,0.4937111,0.249984,0.1586331,0.2195827
1237657189833900553,2728,301,1,450,521,3,5.510225788,-0.868494457,23.11204,22.57107,21.87306,21.58914,21.00793,0.5046679,0.1549416,0.1114489,0.1272971,0.2786361
1237657189833834998,2728,301,1,449,502,3,5.445540172,-0.895813998,21.52009,20.23302,19.56803,19.15475,18.95032,0.2074073,0.03360222,0.02721435,0.02972765,0.08895494
1237657189833835312,2728,301,1,449,816,3,5.441323428,-0.899064694,21.87911,20.43735,19.42939,18.81942,18.53137,0.2322769,0.03363107,0.02004869,0.01724448,0.04526507
1237657189833835325,2728,301,1,449,829,3,5.453789238,-0.903034384,23.95854,22.63577,21.77488,21.53345,21.50146,0.8986077,0.1666082,0.1045246,0.1245375,0.4253065
1237657189833834606,2728,301,1,449,110,3,5.456402541,-0.894168298,25.01684,24.83138,22.54347,21.39899,21.06278,0.896903,0.6884525,0.1847798,0.1002374,0.2727651
1237657189833835293,2728,301,1,449,797,3,5.432939047,-0.91043968,21.61171,20.15675,19.31401,18.94158,18.6702,0.2327605,0.0334607,0.02406404,0.02672965,0.07456919
1237657189833835281,2728,301,1,449,785,3,5.429234479,-0.910783587,22.48564,20.63743,19.61546,19.23977,18.87253,0.3112116,0.03193616,0.01870341,0.01913419,0.04738136
1237657189833835541,2728,301,1,449,1045,3,5.424217249,-0.920885374,25.25901,23.22174,22.51008,22.45864,21.67098,0.7899918,0.2407077,0.1706751,0.238508,0.416402
1237657189833835330,2728,301,1,449,834,3,5.45698183,-0.922828834,23.06338,22.2208,21.62097,20.87876,20.96807,0.532337,0.125508,0.1000064,0.07637468,0.2980738
1237657189833835580,2728,301,1,449,1084,3,5.454262364,-0.909982629,24.85632,23.23141,22.89469,22.33737,20.97288,0.7946445,0.2108194,0.1958731,0.1797417,0.2033383
1237657189833835313,2728,301,1,449,817,3,5.442279469,-0.926492005,22.5543,22.03313,20.88033,20.15197,20.01379,0.402201,0.1429733,0.06513966,0.05027377,0.1666853
1237657189833835571,2728,301,1,449,1075,3,5.447616101,-0.919131243,25.56223,23.39993,22.32053,21.93619,22.02443,0.6864301,0.2850919,0.1484369,0.1595826,0.5335929
1237657189833835582,2728,301,1,449,1086,3,5.454845156,-0.916791945,23.50954,23.58321,22.17789,21.35016,20.5765,0.6727551,0.3579041,0.1682376,0.1011484,0.1892343
1237657189833835574,2728,301,1,449,1078,3,5.451522969,-0.916897941,25.74491,23.08094,21.2614,20.41199,19.90561,0.7952749,0.2910475,0.08423384,0.05885332,0.1392106
1237657189833835566,2728,301,1,449,1070,3,5.443131363,-0.91571258,24.16357,23.25335,21.65961,21.5463,21.20413,1.147184,0.331146,0.1228832,0.1537957,0.4117218
1237657189833835795,2728,301,1,449,1299,3,5.450863228,-0.904886054,23.29632,23.57752,22.21882,22.25198,21.16747,0.7187513,0.448976,0.2008496,0.3065681,0.41933
1237657189833835572,2728,301,1,449,1076,3,5.448918236,-0.909405849,24.62489,23.03257,22.26739,22.0678,21.39092,1.061096,0.2240441,0.1521587,0.1878186,0.3660496
1237657189833835294,2728,301,1,449,798,3,5.435025468,-0.90876488,22.55884,22.66363,22.06872,21.646,21.30163,0.2825537,0.1420167,0.1104105,0.1124637,0.2988364
1237657189833835515,2728,301,1,449,1019,3,5.40118032,-0.939040722,23.27897,22.22014,22.03943,21.51717,21.06256,0.8596584,0.1656037,0.1996837,0.1930244,0.4468407
1237657189833835522,2728,301,1,449,1026,3,5.409072304,-0.944825142,22.59394,22.63013,21.9708,21.88486,22.18954,0.3339779,0.1597856,0.1236339,0.2166046,0.6472974
1237657189833835244,2728,301,1,449,748,3,5.408329744,-0.938976245,22.53614,22.38123,21.57938,21.4215,21.66362,0.3996087,0.1646698,0.1130341,0.1435008,0.6149609
1237657189833835245,2728,301,1,449,749,3,5.408984613,-0.93933344,23.99498,25.34617,23.88246,21.97317,20.6136,0.994393,0.8084102,0.6239929,0.1957161,0.218821
1237657189833835236,2728,301,1,449,740,3,5.40627216,-0.940375949,22.6008,21.24458,21.12168,21.02164,20.64314,0.3046561,0.04637811,0.0535515,0.07186541,0.1912297
1237657189833835249,2728,301,1,449,753,3,5.411222138,-0.949983281,22.68547,20.26521,19.38375,18.93609,18.66409,0.4667494,0.02844211,0.01917641,0.01892883,0.05160224
1237657189833835694,2728,301,1,449,1198,3,5.405273608,-0.94895327,24.17742,24.98059,24.13893,22.14476,21.37056,0.8545473,0.6475571,0.5540831,0.1796955,0.3203757
