objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,u-g,g-r,,,my 20 (19),,,,
1237671939804562410,6162,301,3,133,1002,3,258.0636501,64.05066731,23.14498,22.33704,21.78537,21.48095,21.3557,0.9888645,0.1884914,0.163356,0.1837483,0.625124,0.80794,0.55167,,,u-g,g-r,,,
1237671939804562370,6162,301,3,133,962,3,258.0393925,64.04687888,23.73964,22.70308,23.08325,22.13591,21.86266,0.8809218,0.1568516,0.298825,0.1956763,0.5251988,1.03656,-0.38017,,,0.1031487,-0.3295225,,y,x
1237671939804562376,6162,301,3,133,968,3,258.0415494,64.04890186,24.44411,22.2908,21.79786,21.51736,21.25181,1.246201,0.1142246,0.1168519,0.1197824,0.3563045,2.15331,0.49294,,,-0.0029305,-0.2365221,,2.2,0
1237671939804562783,6162,301,3,133,1375,3,258.0301883,64.05039068,23.64357,24.19473,22.85099,21.56622,21.39789,0.694288,0.4212756,0.1958798,0.09339497,0.2900121,-0.55116,1.34374,,,0.10248483,-0.19661713,,1.2,1
1237671939804563016,6162,301,3,133,1608,3,258.0451241,64.05406722,23.03228,22.94671,22.33719,21.84371,22.16762,0.6353808,0.2300797,0.189898,0.1824533,0.8009652,0.08557,0.60952,,,0.0074447,-0.6185119,,,
1237671939804562388,6162,301,3,133,980,3,258.0477269,64.05015655,23.94058,22.26511,21.65991,21.55532,21.34402,1.105315,0.1182246,0.09627365,0.1282074,0.3937955,1.67547,0.6052,,,-0.03193375,-0.2655881,,,
1237671939804562394,6162,301,3,133,986,3,258.0555672,64.04793552,22.42164,20.36793,19.63078,19.25985,19.15021,0.5253435,0.03427228,0.02599142,0.02725316,0.0928786,2.05371,0.73715,,,-0.00126174,-0.06562544,,,
1237671939804561799,6162,301,3,133,391,3,257.9794185,64.04483122,23.85518,21.96332,21.31162,20.99982,21.09684,0.8451092,0.07562751,0.05819001,0.06520858,0.2540996,1.89186,0.6517,,,-0.00701857,-0.18889102,,,
1237671939804561826,6162,301,3,133,418,3,258.0040947,64.0378606,19.43979,17.46256,16.59365,16.18349,15.89841,0.05098085,0.005437127,0.004109875,0.004042025,0.008690079,1.97723,0.86891,,,6.785E-05,-0.004648054,,,
1237671939804561827,6162,301,3,133,419,3,258.0105425,64.03483247,23.92399,21.7298,21.20186,20.9449,21.22378,1.12465,0.07730222,0.06906967,0.08057273,0.3829792,2.19419,0.52794,,,-0.01150306,-0.30240647,,,
1237671939804561474,6162,301,3,133,66,3,258.0674953,64.03677186,19.86892,17.792,16.80831,16.36035,16.00596,0.05192068,0.0058539,0.004133952,0.004003015,0.007428244,2.07692,0.98369,,,0.000130937,-0.003425229,,,
1237671939804561506,6162,301,3,133,98,3,258.0553751,64.03274779,21.67838,19.25708,18.27728,17.89511,17.73835,0.3161064,0.01656188,0.0105676,0.01072187,0.03225809,2.4213,0.9798,,,-0.00015427,-0.02153622,,,
1237671939804561514,6162,301,3,133,106,3,258.054387,64.03186084,23.53041,20.34925,19.45041,19.2375,18.9276,1.280848,0.03548972,0.02323884,0.02731728,0.07742034,3.18116,0.89884,,,-0.00407844,-0.05010306,,,
